StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q3_1,Q5_1,Q7_1,Q9_1,Q11_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,condition
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""condition""}"
12/5/18 10:45,12/5/18 10:46,100,59,TRUE,12/5/18 10:46,38,76,61,24,78,81,67,41,69,35,80,81,38,63,11,15,88,100,62,75,liar
12/5/18 10:45,12/5/18 10:46,100,58,TRUE,12/5/18 10:46,68,66,64,64,61,69,70,66,62,68,53,55,44,61,54,64,67,65,69,69,control
12/5/18 10:46,12/5/18 10:47,100,53,TRUE,12/5/18 10:47,59,44,39,60,61,59,58,46,61,61,70,61,36,61,44,59,58,62,40,59,liar
12/5/18 10:45,12/5/18 10:47,100,89,TRUE,12/5/18 10:47,29,95,6,29,38,13,95,3,23,13,24,97,12,39,26,17,98,8,27,28,control
12/5/18 10:45,12/5/18 10:47,100,83,TRUE,12/5/18 10:47,12,88,45,35,29,12,98,42,40,23,13,92,41,39,25,23,96,47,43,32,hypocrite
12/5/18 10:45,12/5/18 10:47,100,89,TRUE,12/5/18 10:47,41,31,43,25,20,44,73,26,38,12,32,76,26,36,30,26,20,20,28,20,hypocrite
12/5/18 10:46,12/5/18 10:47,100,68,TRUE,12/5/18 10:47,48,63,54,54,47,38,70,53,48,48,30,87,23,47,17,45,60,49,54,49,liar
12/5/18 10:45,12/5/18 10:47,100,99,TRUE,12/5/18 10:47,55,90,57,50,51,25,97,17,16,24,32,100,31,24,28,15,91,28,20,22,liar
