StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q5_1,Q7_1,Q9_1,Q11_1,Q64_1,Q65_1,Q66_1,Q67_1,Q68_1,Q70_1,Q71_1,Q72_1,Q73_1,Q74_1,Q76_1,Q77_1,Q78_1,Q79_1,Q80_1,mTurkCode,condition,background_text_1,background_text_2,condition_text,target_char
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,How trustworthy do you think [Field-target_char] is? - How trustworthy do you think ${e://Field/target_char} is?,How hypocritical do you think [Field-target_char] is? - How hypocritical do you think ${e://Field/target_char} is?,How much do you like [Field-target_char]? - How much do you like ${e://Field/target_char}?,How good a person do you think [Field-target_char] is? - How good a person do you think ${e://Field/target_char} is?,How honest a person do you think [Field-target_char] is? - How honest a person do you think ${e://Field/target_char} is?,mTurkCode,condition,background_text_1,background_text_2,condition_text,target_char
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID66_1""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID76_1""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""condition""}","{""ImportId"":""background_text_1""}","{""ImportId"":""background_text_2""}","{""ImportId"":""condition_text""}","{""ImportId"":""target_char""}"
2018-11-13 09:18:06,2018-11-13 09:19:06,IP Address,171.66.209.5,100,59,True,2018-11-13 09:19:07,R_3EsPh1vBZpZQy0x,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,30,74,1,69,73,,,,,,,,,,,,,,,,9418164,liar,Bruce and his friend are Zach are discussing a mutual acquaintance. Zach mentions that the acquaintance often ignores his mother's phone calls.,"Shortly after their conversation, Bruce notices that his mother is calling, and ignores the call.",Bruce says that he doesn't ignore his mother's phone calls.,Bruce
2018-11-13 09:29:53,2018-11-13 09:30:43,IP Address,171.66.209.5,100,50,True,2018-11-13 09:30:43,R_1OPGNqYwXUwPvMJ,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,68,36,82,93,71,,,,,,,,,,,,,,,,310079,hypocrite,Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet.,"Shortly after their conversation, Becky goes online, and downloads music illegally.",Becky says that she thinks it is morally wrong to download music illegally from the Internet.,Becky
2018-11-14 16:29:38,2018-11-14 16:35:29,IP Address,171.66.208.6,100,351,True,2018-11-14 16:35:29,R_24l6ej6NSZhXNGP,,,,,37.4235992431640625,-122.161895751953125,anonymous,EN,37,78,40,41,42,,,,,,,,,,,,,,,,3530265,liar,Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty.,"Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.",Jennifer says that she doesn't try to get out of jury duty.,Jennifer
2018-11-20 13:04:26,2018-11-20 13:05:08,IP Address,76.94.32.56,100,42,True,2018-11-20 13:05:08,R_22E6XEYHUgPYkaD,,,,,33.8180999755859375,-118.03570556640625,anonymous,EN,62,32,90,13,83,7,79,28,68,90,14,37,72,75,45,29,33,78,57,74,3515805,control,Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet.,"Shortly after their conversation, Becky goes online, and downloads music illegally.",,Becky
2018-11-20 17:55:07,2018-11-20 17:56:53,IP Address,76.185.183.214,100,105,True,2018-11-20 17:56:53,R_UPCjd8vKkZ3IzDP,,,,,29.397705078125,-98.46579742431640625,anonymous,EN,79,12,94,89,65,85,8,90,91,80,11,100,6,1,11,89,8,90,88,81,1616626,control,Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty.,"Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.",,Jennifer
2018-11-20 18:14:40,2018-11-20 18:17:34,IP Address,162.206.15.180,100,174,True,2018-11-20 18:17:34,R_1JVCsnVdWNovmV4,,,,,31.77630615234375,-106.49320220947265625,anonymous,EN,0,100,0,0,0,47,72,48,48,38,48,77,42,35,35,49,55,50,49,38,6287622,liar,Jennifer and her friend Rose are discussing a mutual acquaintance. Rose mentions that the acquaintance recently tried to get out of jury duty.,"Shortly after their conversation, Jennifer gets called for jury duty, and tries to get out of it.",Jennifer says that she doesn't try to get out of jury duty.,Jennifer
2018-11-20 18:17:37,2018-11-20 18:19:33,IP Address,74.130.64.189,100,116,True,2018-11-20 18:19:33,R_2TB61Fulc81C9EQ,,,,,38.222198486328125,-85.68849945068359375,anonymous,EN,46,86,47,42,27,62,72,51,55,54,61,55,51,66,58,39,69,49,54,27,9411437,liar,Becky and her friend Amanda are discussing a mutual acquaintance. Amanda mentions that the acquaintance often downloads music illegally from the Internet.,"Shortly after their conversation, Becky goes online, and downloads music illegally.",Becky says that she doesn't download music illegally from the Internet.,Becky
2018-11-20 18:22:27,2018-11-20 18:23:52,IP Address,65.31.180.86,100,84,True,2018-11-20 18:23:52,R_1cUIzcMsvPhcsEw,,,,,42.8892059326171875,-87.90270233154296875,anonymous,EN,10,100,17,4,20,0,100,6,0,0,8,100,11,7,2,0,100,5,14,5,3256429,hypocrite,Kevin and his friend Jack are discussing a mutual acquaintance. Jack mentions that the acquaintance often uses a lot of paper by printing documents single-sided.,"Shortly after their conversation, Kevin has a large document to print, and uses a lot of paper by printing it single-sided.",Kevin says that he thinks it is morally wrong to use a lot of paper by printing documents single-sided.,Kevin
